"date","location","location_name","season","horizon","weekly_rate","value","rate_diff","category","numeric_category"
2022-02-12,"72","Puerto Rico","2022-2023",1,0.582182042809378,19,NA,NA,NA
2022-02-12,"44","Rhode Island","2022-2023",1,0,0,NA,NA,NA
2022-02-12,"45","South Carolina","2022-2023",1,0.385304115722238,20,NA,NA,NA
2022-02-12,"46","South Dakota","2022-2023",1,2.12201354514751,19,NA,NA,NA
2022-02-12,"47","Tennessee","2022-2023",1,0.344075267611708,24,NA,NA,NA
2022-02-12,"48","Texas","2022-2023",1,0.585885754783918,173,NA,NA,NA
2022-02-12,"US","US","2022-2023",1,0.378434369108101,1256,NA,NA,NA
2022-02-12,"49","Utah","2022-2023",1,0.119833132363184,4,NA,NA,NA
2022-02-12,"51","Virginia","2022-2023",1,0.451270117101124,39,NA,NA,NA
2022-02-12,"50","Vermont","2022-2023",1,0,0,NA,NA,NA
2022-02-12,"53","Washington","2022-2023",1,0.103376642977909,8,NA,NA,NA
2022-02-12,"55","Wisconsin","2022-2023",1,0.474905646424605,28,NA,NA,NA
2022-02-12,"54","West Virginia","2022-2023",1,0.280432696433289,5,NA,NA,NA
2022-02-12,"56","Wyoming","2022-2023",1,0.345540710742688,2,NA,NA,NA
2022-02-19,"02","Alaska","2022-2023",1,0,0,-0.136486536285628,"stable","0"
2022-02-19,"01","Alabama","2022-2023",1,0.396835081491076,20,0.0595252622236614,"stable","0"
2022-02-19,"05","Arkansas","2022-2023",1,1.05753974614419,32,0.297433053603054,"stable","0"
2022-02-19,"04","Arizona","2022-2023",1,0.907052414985825,66,0.384810115448532,"stable","0"
2022-02-19,"06","California","2022-2023",1,0.0458740894885233,18,-0.0356798473799625,"stable","0"
2022-02-19,"08","Colorado","2022-2023",1,0.378522691316982,22,0.0344111537560893,"stable","0"
2022-02-19,"09","Connecticut","2022-2023",1,0.0277346580885218,1,-0.0832039742655654,"stable","0"
2022-02-19,"11","District of Columbia","2022-2023",1,0.149242593836281,1,-0.298485187672562,"stable","0"
2022-02-19,"10","Delaware","2022-2023",1,0.29898822385049,3,0.29898822385049,"stable","0"
2022-02-19,"12","Florida","2022-2023",1,0.339743653313088,74,-0.0229556522508843,"stable","0"
2022-02-19,"13","Georgia","2022-2023",1,0.416683411166708,45,0,"stable","0"
2022-02-19,"15","Hawaii","2022-2023",1,0,0,0,"stable","0"
2022-02-19,"19","Iowa","2022-2023",1,1.37798031304581,44,0.845578828459929,"stable","0"
2022-02-19,"16","Idaho","2022-2023",1,0.0526060234949022,1,0,"stable","0"
2022-02-19,"17","Illinois","2022-2023",1,0.205185365643084,26,0.078917448324263,"stable","0"
2022-02-19,"18","Indiana","2022-2023",1,0.896269974147754,61,0.36732375989662,"stable","0"
2022-02-19,"20","Kansas","2022-2023",1,0.851910084638971,25,0.477069647397824,"stable","0"
2022-02-19,"21","Kentucky","2022-2023",1,0.443518574779671,20,0.110879643694918,"stable","0"
2022-02-19,"22","Louisiana","2022-2023",1,0.865043110504716,40,0.346017244201886,"stable","0"
2022-02-19,"25","Massachusetts","2022-2023",1,0.773115841530151,54,0.243388320481714,"stable","0"
2022-02-19,"24","Maryland","2022-2023",1,0.227083650642184,14,0.0486607822804681,"stable","0"
2022-02-19,"23","Maine","2022-2023",1,0.291492712317826,4,0.0728731780794565,"stable","0"
2022-02-19,"26","Michigan","2022-2023",1,0.517371185270522,52,0.198988917411739,"stable","0"
2022-02-19,"27","Minnesota","2022-2023",1,0.490592021922455,28,0.0876057182004384,"stable","0"
2022-02-19,"29","Missouri","2022-2023",1,0.972733154815183,60,0.0648488769876789,"stable","0"
2022-02-19,"28","Mississippi","2022-2023",1,0.91526509636555,27,0.169493536363991,"stable","0"
2022-02-19,"30","Montana","2022-2023",1,0.815017328173972,9,-0.0905574809082191,"stable","0"
2022-02-19,"37","North Carolina","2022-2023",1,0.303284131169629,32,0.0189552581981018,"stable","0"
2022-02-19,"38","North Dakota","2022-2023",1,0.645204581468692,5,-1.41945007923112,"stable","0"
2022-02-19,"31","Nebraska","2022-2023",1,1.73143242422946,34,0.20369793226229,"stable","0"
2022-02-19,"33","New Hampshire","2022-2023",1,0.503962585817629,7,0.431967930700825,"stable","0"
2022-02-19,"34","New Jersey","2022-2023",1,0.34530647568341,32,0.0539541368255328,"stable","0"
2022-02-19,"35","New Mexico","2022-2023",1,0.378093811691322,8,-0.189046905845661,"stable","0"
2022-02-19,"32","Nevada","2022-2023",1,0.254453654606518,8,0.127226827303259,"stable","0"
2022-02-19,"36","New York","2022-2023",1,0.151240832725975,30,0.0604963330903901,"stable","0"
2022-02-19,"39","Ohio","2022-2023",1,0.34804703592533,41,0.178267994010535,"stable","0"
2022-02-19,"40","Oklahoma","2022-2023",1,1.95653531709292,78,0.476591936214942,"stable","0"
2022-02-19,"41","Oregon","2022-2023",1,0.141304309428177,6,0.117753591190147,"stable","0"
2022-02-19,"42","Pennsylvania","2022-2023",1,0.740508988853488,96,0.377968129727301,"stable","0"
2022-02-19,"72","Puerto Rico","2022-2023",1,0.275770441330758,9,0.061282320295724,"stable","0"
2022-02-19,"44","Rhode Island","2022-2023",1,0.0912733545696005,1,0.0912733545696005,"stable","0"
2022-02-19,"45","South Carolina","2022-2023",1,0.40456932150835,21,-0.0385304115722238,"stable","0"
2022-02-19,"46","South Dakota","2022-2023",1,1.56358892800343,14,0.446739693715266,"stable","0"
2022-02-19,"47","Tennessee","2022-2023",1,0.415757615030813,29,-0.12902822535439,"stable","0"
2022-02-19,"48","Texas","2022-2023",1,0.961800892246432,284,0.562179394763759,"stable","0"
2022-02-19,"US","US","2022-2023",1,0.473946865132996,1573,0.131367344690392,"stable","0"
2022-02-19,"49","Utah","2022-2023",1,0.179749698544776,6,0,"stable","0"
2022-02-19,"51","Virginia","2022-2023",1,0.428128059813887,37,-0.115710286436186,"stable","0"
2022-02-19,"50","Vermont","2022-2023",1,0,0,0,"stable","0"
2022-02-19,"53","Washington","2022-2023",1,0.0646104018611931,5,-0.0129220803722386,"stable","0"
2022-02-19,"55","Wisconsin","2022-2023",1,0.491866562368341,29,-0.0339218318874718,"stable","0"
2022-02-19,"54","West Virginia","2022-2023",1,0.673038471439893,12,0.168259617859973,"stable","0"
2022-02-19,"56","Wyoming","2022-2023",1,0.345540710742688,2,0.172770355371344,"stable","0"
2022-02-26,"02","Alaska","2022-2023",1,0.136486536285628,1,0.136486536285628,"stable","0"
2022-02-26,"01","Alabama","2022-2023",1,0.277784557043753,14,0.0396835081491076,"stable","0"
2022-02-26,"05","Arkansas","2022-2023",1,1.38802091681425,42,0.594866107206109,"stable","0"
2022-02-26,"04","Arizona","2022-2023",1,0.989511725439082,72,0.123688965679885,"stable","0"
2022-02-26,"06","California","2022-2023",1,0.0866510579227662,34,0,"stable","0"
2022-02-26,"08","Colorado","2022-2023",1,0.464550575707205,27,0,"stable","0"
2022-02-26,"09","Connecticut","2022-2023",1,0.194142606619653,7,0.194142606619653,"stable","0"
2022-02-26,"11","District of Columbia","2022-2023",1,0,0,0,"stable","0"
2022-02-26,"10","Delaware","2022-2023",1,0.0996627412834966,1,-0.0996627412834966,"stable","0"
2022-02-26,"12","Florida","2022-2023",1,0.303014609711673,66,0.00918226090035373,"stable","0"
2022-02-26,"13","Georgia","2022-2023",1,0.324087097574106,35,-0.0277788940777806,"stable","0"
2022-02-26,"15","Hawaii","2022-2023",1,0,0,0,"stable","0"
2022-02-26,"19","Iowa","2022-2023",1,1.9416995320191,62,0.313177343874047,"stable","0"
2022-02-26,"16","Idaho","2022-2023",1,0.210424093979609,4,0.157818070484707,"stable","0"
2022-02-26,"17","Illinois","2022-2023",1,0.205185365643084,26,0.134159662151247,"stable","0"
2022-02-26,"18","Indiana","2022-2023",1,0.617103916626322,42,0.117543603166918,"stable","0"
2022-02-26,"20","Kansas","2022-2023",1,1.29490332865124,38,0.613375260940059,"stable","0"
2022-02-26,"21","Kentucky","2022-2023",1,0.620926004691539,28,0.288287073606786,"stable","0"
2022-02-26,"22","Louisiana","2022-2023",1,0.778538799454244,36,0.302765088676651,"stable","0"
2022-02-26,"25","Massachusetts","2022-2023",1,0.429508800850084,30,-0.100218720198353,"stable","0"
2022-02-26,"24","Maryland","2022-2023",1,0.275744432922653,17,0.145982346841404,"stable","0"
2022-02-26,"23","Maine","2022-2023",1,0.145746356158913,2,-0.364365890397283,"stable","0"
2022-02-26,"26","Michigan","2022-2023",1,0.547219522882283,55,0.149241688058804,"stable","0"
2022-02-26,"27","Minnesota","2022-2023",1,0.332901729161666,19,0,"stable","0"
2022-02-26,"29","Missouri","2022-2023",1,0.924096497074424,57,0.243183288703796,"stable","0"
2022-02-26,"28","Mississippi","2022-2023",1,1.05085992545674,31,0.305088365455183,"stable","0"
2022-02-26,"30","Montana","2022-2023",1,1.35836221362329,15,0.181114961816438,"stable","0"
2022-02-26,"37","North Carolina","2022-2023",1,0.341194647565832,36,0.0379105163962035,"stable","0"
2022-02-26,"38","North Dakota","2022-2023",1,0,0,-0.645204581468692,"stable","0"
2022-02-26,"31","Nebraska","2022-2023",1,1.83328139036061,36,0.356471381459007,"stable","0"
2022-02-26,"33","New Hampshire","2022-2023",1,0.287978620467217,4,-0.503962585817629,"stable","0"
2022-02-26,"34","New Jersey","2022-2023",1,0.37767895777873,35,0.107908273651066,"stable","0"
2022-02-26,"35","New Mexico","2022-2023",1,0.141785179384246,3,-0.189046905845661,"stable","0"
2022-02-26,"32","Nevada","2022-2023",1,0.286260361432332,9,0.0954201204774441,"stable","0"
2022-02-26,"36","New York","2022-2023",1,0.191571721452902,38,0.0201654443634634,"stable","0"
2022-02-26,"39","Ohio","2022-2023",1,0.280135419159412,33,0.0339558083829591,"stable","0"
2022-02-26,"40","Oklahoma","2022-2023",1,2.03178667544265,81,0.275921647282335,"stable","0"
2022-02-26,"41","Oregon","2022-2023",1,0.0706521547140884,3,0.0235507182380295,"stable","0"
2022-02-26,"42","Pennsylvania","2022-2023",1,0.632518094645688,82,0.169699976612258,"stable","0"
2022-02-26,"72","Puerto Rico","2022-2023",1,0.15320580073931,5,-0.428976242070068,"stable","0"
2022-02-26,"44","Rhode Island","2022-2023",1,0,0,0,"stable","0"
2022-02-26,"45","South Carolina","2022-2023",1,0.520160556225021,27,0.134856440502783,"stable","0"
2022-02-26,"46","South Dakota","2022-2023",1,1.67527385143225,15,-0.446739693715266,"stable","0"
2022-02-26,"47","Tennessee","2022-2023",1,0.673814065739594,47,0.329738798127886,"stable","0"
2022-02-26,"48","Texas","2022-2023",1,1.17515813242786,347,0.589272377643941,"stable","0"
2022-02-26,"US","US","2022-2023",1,0.501967881316956,1666,0.123533512208855,"stable","0"
2022-02-26,"49","Utah","2022-2023",1,0.179749698544776,6,0.0599165661815921,"stable","0"
2022-02-26,"51","Virginia","2022-2023",1,0.474412174388361,41,0.0231420572872371,"stable","0"
2022-02-26,"50","Vermont","2022-2023",1,0.154901869665567,1,0.154901869665567,"stable","0"
2022-02-26,"53","Washington","2022-2023",1,0.0904545626056703,7,-0.0129220803722386,"stable","0"
2022-02-26,"55","Wisconsin","2022-2023",1,0.457944730480869,27,-0.0169609159437359,"stable","0"
2022-02-26,"54","West Virginia","2022-2023",1,0.953471167873182,17,0.673038471439893,"stable","0"
2022-02-26,"56","Wyoming","2022-2023",1,0.86385177685672,5,0.518311066114032,"stable","0"
2022-03-05,"02","Alaska","2022-2023",1,0,0,0,"stable","0"
2022-03-05,"01","Alabama","2022-2023",1,0.694461392609383,35,0.297626311118307,"stable","0"
2022-03-05,"05","Arkansas","2022-2023",1,1.91679078988635,58,0.859251043742157,"stable","0"
2022-03-05,"04","Arizona","2022-2023",1,1.25063287520773,91,0.343580460221903,"stable","0"
2022-03-05,"06","California","2022-2023",1,0.0815539368684858,32,0.0356798473799625,"stable","0"
2022-03-05,"08","Colorado","2022-2023",1,0.430139421951116,25,0.0516167306341339,"stable","0"
2022-03-05,"09","Connecticut","2022-2023",1,0.194142606619653,7,0.166407948531131,"stable","0"
2022-03-05,"11","District of Columbia","2022-2023",1,0.149242593836281,1,0,"stable","0"
2022-03-05,"10","Delaware","2022-2023",1,0.0996627412834966,1,-0.199325482566993,"stable","0"
2022-03-05,"12","Florida","2022-2023",1,0.330561392412735,72,-0.00918226090035379,"stable","0"
2022-03-05,"13","Georgia","2022-2023",1,0.259269678059285,28,-0.157413733107423,"stable","0"
2022-03-05,"15","Hawaii","2022-2023",1,0,0,0,"stable","0"
2022-03-05,"19","Iowa","2022-2023",1,1.78511086008207,57,0.407130547036262,"stable","0"
2022-03-05,"16","Idaho","2022-2023",1,0.157818070484707,3,0.105212046989804,"stable","0"
2022-03-05,"17","Illinois","2022-2023",1,0.165726641480952,21,-0.0394587241621315,"stable","0"
2022-03-05,"18","Indiana","2022-2023",1,1.05789242850227,72,0.161622454354513,"stable","0"
2022-03-05,"20","Kansas","2022-2023",1,1.09044490833788,32,0.238534823698912,"stable","0"
2022-03-05,"21","Kentucky","2022-2023",1,0.443518574779671,20,0,"stable","0"
2022-03-05,"22","Louisiana","2022-2023",1,0.670408410641155,31,-0.194634699863561,"stable","0"
2022-03-05,"25","Massachusetts","2022-2023",1,0.200437440396706,14,-0.572678401133445,"stable","0"
2022-03-05,"24","Maryland","2022-2023",1,0.340625475963277,21,0.113541825321092,"stable","0"
2022-03-05,"23","Maine","2022-2023",1,0.21861953423837,3,-0.0728731780794565,"stable","0"
2022-03-05,"26","Michigan","2022-2023",1,0.815854561388131,82,0.298483376117609,"stable","0"
2022-03-05,"27","Minnesota","2022-2023",1,0.543155452842718,31,0.052563430920263,"stable","0"
2022-03-05,"29","Missouri","2022-2023",1,1.24834088201282,77,0.275607727197635,"stable","0"
2022-03-05,"28","Mississippi","2022-2023",1,1.15255604727514,34,0.237290950909587,"stable","0"
2022-03-05,"30","Montana","2022-2023",1,1.72059213725616,19,0.905574809082191,"stable","0"
2022-03-05,"37","North Carolina","2022-2023",1,0.511791971348748,54,0.20850784017912,"stable","0"
2022-03-05,"38","North Dakota","2022-2023",1,0.258081832587477,2,-0.387122748881215,"stable","0"
2022-03-05,"31","Nebraska","2022-2023",1,3.05546898393434,60,1.32403655970488,"increase","1"
2022-03-05,"33","New Hampshire","2022-2023",1,0.215983965350412,3,-0.287978620467216,"stable","0"
2022-03-05,"34","New Jersey","2022-2023",1,0.442423921969369,41,0.0971174462859591,"stable","0"
2022-03-05,"35","New Mexico","2022-2023",1,0.283570358768492,6,-0.0945234529228306,"stable","0"
2022-03-05,"32","Nevada","2022-2023",1,0.636134136516294,20,0.381680481909776,"stable","0"
2022-03-05,"36","New York","2022-2023",1,0.282316221088487,56,0.131075388362512,"stable","0"
2022-03-05,"39","Ohio","2022-2023",1,0.424447604786988,50,0.0764005688616579,"stable","0"
2022-03-05,"40","Oklahoma","2022-2023",1,2.38295968107471,95,0.42642436398179,"stable","0"
2022-03-05,"41","Oregon","2022-2023",1,0.0471014364760589,2,-0.0942028729521178,"stable","0"
2022-03-05,"42","Pennsylvania","2022-2023",1,0.593949918142902,77,-0.146559070710586,"stable","0"
2022-03-05,"72","Puerto Rico","2022-2023",1,0.337052761626482,11,0.0612823202957239,"stable","0"
2022-03-05,"44","Rhode Island","2022-2023",1,0.182546709139201,2,0.0912733545696005,"stable","0"
2022-03-05,"45","South Carolina","2022-2023",1,0.443099733080574,23,0.0385304115722238,"stable","0"
2022-03-05,"46","South Dakota","2022-2023",1,3.79728739657976,34,2.23369846857633,"increase","1"
2022-03-05,"47","Tennessee","2022-2023",1,0.473103492966098,33,0.0573458779352846,"stable","0"
2022-03-05,"48","Texas","2022-2023",1,1.16838488670781,345,0.206583994461382,"stable","0"
2022-03-05,"US","US","2022-2023",1,0.585127026120965,1942,0.111180160987969,"stable","0"
2022-03-05,"49","Utah","2022-2023",1,0.359499397089553,12,0.179749698544776,"stable","0"
2022-03-05,"51","Virginia","2022-2023",1,0.439699088457505,38,0.0115710286436185,"stable","0"
2022-03-05,"50","Vermont","2022-2023",1,0,0,0,"stable","0"
2022-03-05,"53","Washington","2022-2023",1,0.155064964466863,12,0.0904545626056703,"stable","0"
2022-03-05,"55","Wisconsin","2022-2023",1,1.0854986203991,64,0.593632058030756,"stable","0"
2022-03-05,"54","West Virginia","2022-2023",1,1.68259617859973,30,1.00955770715984,"stable","0"
2022-03-05,"56","Wyoming","2022-2023",1,0.86385177685672,5,0.518311066114032,"stable","0"
2022-03-12,"02","Alaska","2022-2023",1,0.272973072571256,2,0.136486536285628,"stable","0"
2022-03-12,"01","Alabama","2022-2023",1,0.595252622236614,30,0.317468065192861,"stable","0"
2022-03-12,"05","Arkansas","2022-2023",1,2.04898325815437,62,0.660962341340121,"stable","0"
2022-03-12,"04","Arizona","2022-2023",1,1.16817356475447,85,0.17866183931539,"stable","0"
2022-03-12,"06","California","2022-2023",1,0.114685223721308,45,0.028034165798542,"stable","0"
2022-03-12,"08","Colorado","2022-2023",1,0.722634228877875,42,0.25808365317067,"stable","0"
2022-03-12,"09","Connecticut","2022-2023",1,0.166407948531131,6,-0.0277346580885218,"stable","0"
2022-03-12,"11","District of Columbia","2022-2023",1,0.596970375345124,4,0.596970375345124,"stable","0"
2022-03-12,"10","Delaware","2022-2023",1,0.697639188984477,7,0.59797644770098,"stable","0"
2022-03-12,"12","Florida","2022-2023",1,0.316788001062204,69,0.0137733913505306,"stable","0"
2022-03-12,"13","Georgia","2022-2023",1,0.342606360292627,37,0.0185192627185204,"stable","0"
2022-03-12,"15","Hawaii","2022-2023",1,0,0,0,"stable","0"
2022-03-12,"19","Iowa","2022-2023",1,1.91038179763169,61,-0.0313177343874047,"stable","0"
2022-03-12,"16","Idaho","2022-2023",1,0.789090352423533,15,0.578666258443924,"stable","0"
2022-03-12,"17","Illinois","2022-2023",1,0.307778048464626,39,0.102592682821542,"stable","0"
2022-03-12,"18","Indiana","2022-2023",1,1.55745274196167,106,0.940348825335348,"stable","0"
2022-03-12,"20","Kansas","2022-2023",1,1.53343815235015,45,0.238534823698912,"stable","0"
2022-03-12,"21","Kentucky","2022-2023",1,0.776157505864424,35,0.155231501172885,"stable","0"
2022-03-12,"22","Louisiana","2022-2023",1,0.670408410641155,31,-0.108130388813089,"stable","0"
2022-03-12,"25","Massachusetts","2022-2023",1,0.486776640963428,34,0.0572678401133445,"stable","0"
2022-03-12,"24","Maryland","2022-2023",1,0.291964693682809,18,0.016220260760156,"stable","0"
2022-03-12,"23","Maine","2022-2023",1,0.145746356158913,2,0,"stable","0"
2022-03-12,"26","Michigan","2022-2023",1,0.915349020094,92,0.368129497211718,"stable","0"
2022-03-12,"27","Minnesota","2022-2023",1,0.613240027403069,35,0.280338298241403,"stable","0"
2022-03-12,"29","Missouri","2022-2023",1,1.08621868954362,67,0.162122192469197,"stable","0"
2022-03-12,"28","Mississippi","2022-2023",1,1.08475863272954,32,0.0338987072727981,"stable","0"
2022-03-12,"30","Montana","2022-2023",1,1.35836221362329,15,0,"stable","0"
2022-03-12,"37","North Carolina","2022-2023",1,0.492836713150646,52,0.151642065584814,"stable","0"
2022-03-12,"38","North Dakota","2022-2023",1,0.77424549776243,6,0.77424549776243,"stable","0"
2022-03-12,"31","Nebraska","2022-2023",1,1.98605483955732,39,0.152773449196717,"stable","0"
2022-03-12,"33","New Hampshire","2022-2023",1,1.22390913698567,17,0.935930516518454,"stable","0"
2022-03-12,"34","New Jersey","2022-2023",1,0.420842267239156,39,0.0431633094604262,"stable","0"
2022-03-12,"35","New Mexico","2022-2023",1,0.378093811691322,8,0.236308632307076,"stable","0"
2022-03-12,"32","Nevada","2022-2023",1,0.795167670645368,25,0.508907309213035,"stable","0"
2022-03-12,"36","New York","2022-2023",1,0.287357582179353,57,0.0957858607264511,"stable","0"
2022-03-12,"39","Ohio","2022-2023",1,0.730049880233619,86,0.449914461074207,"stable","0"
2022-03-12,"40","Oklahoma","2022-2023",1,3.23580840903829,129,1.20402173359564,"increase","1"
2022-03-12,"41","Oregon","2022-2023",1,0.211956464142265,9,0.141304309428177,"stable","0"
